"Estacion","TMedia","TMin","TMax","Tobs","Fecha"
"GUAJL","13.3","11","15.5","11.5","1/1/2014 12:00:00 AM"
"GUAJL","14.3","10.5","18","11.0","1/2/2014 12:00:00 AM"
"GUCJL","14.1","9","19.2","9.4","1/2/2014 12:00:00 AM"
"GUAJL","16.3","10.5","22","-11.","1/3/2014 12:00:00 AM"
"GUCJL","17","10.7","23.3","11.5","1/3/2014 12:00:00 AM"
"GUAJL","15.5","9.5","21.5","10.0","1/4/2014 12:00:00 AM"
"GUCJL","14.3","6.5","22","6.6","1/4/2014 12:00:00 AM"
"GUAJL","16.3","10","22.5","10.5","1/5/2014 12:00:00 AM"
"GUCJL","15.9","7.3","24.5","7.7","1/5/2014 12:00:00 AM"
"GUAJL","16.8","10.5","23","12.5","1/6/2014 12:00:00 AM"
"GUCJL","17.6","10.5","24.7","11.0","1/6/2014 12:00:00 AM"
"GUCJL","14.7","9.3","20.1","9.8","1/7/2014 12:00:00 AM"
"GUAJL","16","10","22","10.5","1/8/2014 12:00:00 AM"
"GUCJL","15","6.8","23.2","7.0","1/8/2014 12:00:00 AM"
"GUAJL","16.3","9.5","23","10.0","1/9/2014 12:00:00 AM"
"GUCJL","15.4","6.5","24.3","6.5","1/9/2014 12:00:00 AM"
"GUAJL","16.5","9","24","9.5","1/10/2014 12:00:00 AM"
"GUCJL","15","5","24.9","5.5","1/10/2014 12:00:00 AM"
"GUAJL","16","9","23","12.5","1/11/2014 12:00:00 AM"
"GUCJL","17.2","9.5","24.8","11.0","1/11/2014 12:00:00 AM"
"GUAJL","14.5","11","18","11.5","1/12/2014 12:00:00 AM"
"GUCJL","14.7","9.7","19.7","10.8","1/12/2014 12:00:00 AM"
"GUAJL","14.5","9","20","9.5","1/13/2014 12:00:00 AM"
"GUCJL","13.5","6","21","7.0","1/13/2014 12:00:00 AM"
"GUAJL","16","9","23","9.5","1/14/2014 12:00:00 AM"
"GUCJL","14.6","5.5","23.6","6.0","1/14/2014 12:00:00 AM"
"GUAJL","16.5","9.5","23.5","11.0","1/15/2014 12:00:00 AM"
"GUCJL","15.9","7.4","24.4","11.3","1/15/2014 12:00:00 AM"
"GUAJL","14.5","7.5","21.5","8.0","1/16/2014 12:00:00 AM"
"GUCJL","14.3","4.5","24","4.8","1/16/2014 12:00:00 AM"
"GUAJL","14.3","7","21.5","9.0","1/17/2014 12:00:00 AM"
"GUCJL","13.5","4.6","22.3","5.6","1/17/2014 12:00:00 AM"
"GUAJL","15.5","9","22","9.5","1/18/2014 12:00:00 AM"
"GUCJL","14.1","3.9","24.2","4.3","1/18/2014 12:00:00 AM"
"GUAJL","16.5","10","23","10.5","1/20/2014 12:00:00 AM"
"GUAJL","17.8","10.5","25","11.0","1/21/2014 12:00:00 AM"
"GUCJL","16.7","7.7","25.7","8.3","1/21/2014 12:00:00 AM"
"GUAJL","17.8","10","25.5","10.5","1/22/2014 12:00:00 AM"
"GUCJL","16.3","6.2","26.4","6.9","1/22/2014 12:00:00 AM"
"GUAJL","17.8","10","25.5","12.0","1/23/2014 12:00:00 AM"
"GUCJL","17.4","8.5","26.3","9.0","1/23/2014 12:00:00 AM"
"GUAJL","18.8","11.5","26","12.0","1/24/2014 12:00:00 AM"
"GUCJL","18.7","10.2","27.1","10.5","1/24/2014 12:00:00 AM"
"GUAJL","18.8","12","25.5","13.5","1/25/2014 12:00:00 AM"
"GUCJL","18.2","10","26.4","10.5","1/25/2014 12:00:00 AM"
"GUAJL","19.3","12.5","26","13.0","1/27/2014 12:00:00 AM"
"GUCJL","18.2","9","27.4","9.3","1/27/2014 12:00:00 AM"
"GUAJL","19","12","26","12.2","1/28/2014 12:00:00 AM"
"GUCJL","17.8","8.4","27.1","8.6","1/28/2014 12:00:00 AM"
"GUAJL","17.8","10.5","25","11.0","1/29/2014 12:00:00 AM"
"GUCJL","17.2","7.6","26.7","8.2","1/29/2014 12:00:00 AM"
"GUAJL","17.3","10.5","24","11.0","1/30/2014 12:00:00 AM"
"GUCJL","16.4","7","25.7","7.2","1/30/2014 12:00:00 AM"
"GUAJL","18.3","11.5","25","12.5","2/1/2014 12:00:00 AM"
"GUCJL","17.3","8","26.5","9.0","2/1/2014 12:00:00 AM"
"GUAJL","18.8","11.5","26","12.0","2/3/2014 12:00:00 AM"
"GUCJL","17.1","6.9","27.2","7.9","2/3/2014 12:00:00 AM"
"GUAJL","19","11","27","12.0","2/4/2014 12:00:00 AM"
"GUCJL","18.5","8.4","28.6","8.8","2/4/2014 12:00:00 AM"
"GUAJL","19","11.5","26.5","12.5","2/5/2014 12:00:00 AM"
"GUCJL","18.3","8.4","28.1","8.8","2/5/2014 12:00:00 AM"
"GUAJL","19.5","12","27","13.0","2/6/2014 12:00:00 AM"
"GUCJL","18.3","8.6","27.9","9.2","2/6/2014 12:00:00 AM"
"GUAJL","19.5","12.5","26.5","13.5","2/7/2014 12:00:00 AM"
"GUCJL","18.5","9.2","27.9","9.8","2/7/2014 12:00:00 AM"
"GUAJL","18.8","12","25.5","12.5","2/8/2014 12:00:00 AM"
"GUAJL","19.5","11","28","13.0","2/10/2014 12:00:00 AM"
"GUCJL","19.1","8.5","29.7","9.5","2/10/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","2/11/2014 12:00:00 AM"
"GUCJL","19","8.1","29.8","8.9","2/11/2014 12:00:00 AM"
"GUAJL","19","11","27","11.0","2/12/2014 12:00:00 AM"
"GUCJL","17.8","5.6","29.9","6.8","2/12/2014 12:00:00 AM"
"GUAJL","18.8","11","26.5","11.0","2/13/2014 12:00:00 AM"
"GUCJL","17.1","5.9","28.2","6.5","2/13/2014 12:00:00 AM"
"GUAJL","19.8","11","28.5","13.0","2/14/2014 12:00:00 AM"
"GUCJL","18.9","8","29.7","9.0","2/14/2014 12:00:00 AM"
"GUAJL","20.5","13","28","14.0","2/15/2014 12:00:00 AM"
"GUCJL","19.2","8.7","29.6","9.0","2/15/2014 12:00:00 AM"
"GUAJL","20.8","12.5","29","13.0","2/17/2014 12:00:00 AM"
"GUCJL","19.2","7.5","30.8","8.0","2/17/2014 12:00:00 AM"
"GUAJL","20.5","12","29","14.0","2/18/2014 12:00:00 AM"
"GUCJL","19.9","9.2","30.6","9.8","2/18/2014 12:00:00 AM"
"GUAJL","21.3","13.5","29","14.0","2/19/2014 12:00:00 AM"
"GUCJL","20.1","9.8","30.4","10.4","2/19/2014 12:00:00 AM"
"GUAJL","20.5","12","29","14.0","2/18/2014 12:00:00 AM"
"GUCJL","19.9","9.2","30.6","9.8","2/18/2014 12:00:00 AM"
"GUAJL","20.8","13","28.5","13.0","2/20/2014 12:00:00 AM"
"GUCJL","19.1","8.5","29.6","8.9","2/20/2014 12:00:00 AM"
"GUAJL","21.5","12","31","12.0","2/21/2014 12:00:00 AM"
"GUCJL","17.3","7.9","26.8","8.4","2/21/2014 12:00:00 AM"
"GUAJL","19.8","12.5","27","15.0","2/22/2014 12:00:00 AM"
"GUCJL","20","10.5","29.5","11.0","2/22/2014 12:00:00 AM"
"GUAJL","20.5","13.5","27.5","14.0","2/24/2014 12:00:00 AM"
"GUAJL","20.8","13.5","28","14.5","2/25/2014 12:00:00 AM"
"GUCJL","19.9","10.5","29.2","12.0","2/25/2014 12:00:00 AM"
"GUAJL","19.8","13","26.5","13.5","2/26/2014 12:00:00 AM"
"GUCJL","18.6","9.8","27.4","11.0","2/26/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","2/27/2014 12:00:00 AM"
"GUCJL","19.3","8.6","30","9.5","2/27/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","2/28/2014 12:00:00 AM"
"GUCJL","19.3","9.5","29.1","10.2","2/28/2014 12:00:00 AM"
"GUAJL","20.8","13.5","28","14.0","3/1/2014 12:00:00 AM"
"GUCJL","23.4","9.7","37","10.4","3/1/2014 12:00:00 AM"
"GUAJL","21","13","29","14.0","3/2/2014 12:00:00 AM"
"GUCJL","20.6","9.5","31.6","10.4","3/2/2014 12:00:00 AM"
"GUAJL","21","13","29","14.0","3/2/2014 12:00:00 AM"
"GUCJL","20.6","9.5","31.6","10.4","3/2/2014 12:00:00 AM"
"GUAJL","21.8","14.5","29","15.0","3/3/2014 12:00:00 AM"
"GUCJL","21.2","10.5","31.9","11.5","3/3/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","3/4/2014 12:00:00 AM"
"GUCJL","20.9","10.5","31.2","11.0","3/4/2014 12:00:00 AM"
"GUAJL","19.5","12","27","12.0","3/5/2014 12:00:00 AM"
"GUCJL","19","9.2","28.7","10.5","3/5/2014 12:00:00 AM"
"GUAJL","19","12","26","12.5","3/6/2014 12:00:00 AM"
"GUCJL","18.5","8.2","28.8","9.5","3/6/2014 12:00:00 AM"
"GUAJL","19.8","12","27.5","13.0","3/7/2014 12:00:00 AM"
"GUCJL","20.1","10","30.1","11.0","3/7/2014 12:00:00 AM"
"GUAJL","19","13","25","13.5","3/8/2014 12:00:00 AM"
"GUCJL","19.2","10.6","27.8","12.5","3/8/2014 12:00:00 AM"
"GUAJL","19.5","13","26","13.5","3/9/2014 12:00:00 AM"
"GUCJL","20","11.1","28.8","12.8","3/9/2014 12:00:00 AM"
"GUAJL","17.8","10.5","25","11.0","3/11/2014 12:00:00 AM"
"GUCJL","17.8","7.5","28","8.4","3/11/2014 12:00:00 AM"
"GUAJL","19.3","13","25.5","13.5","3/10/2014 12:00:00 AM"
"GUCJL","19.1","10.9","27.3","11.8","3/10/2014 12:00:00 AM"
"GUAJL","18.5","10.5","26.5","11.0","3/12/2014 12:00:00 AM"
"GUAJL","20","11","29","13.0","3/13/2014 12:00:00 AM"
"GUCJL","19.8","8","31.5","9.5","3/13/2014 12:00:00 AM"
"GUAJL","21.3","12.5","30","13.5","3/14/2014 12:00:00 AM"
"GUCJL","21","9.5","32.4","10.5","3/14/2014 12:00:00 AM"
"GUAJL","21.3","12.5","30","13.5","3/14/2014 12:00:00 AM"
"GUCJL","21","9.5","32.4","10.5","3/14/2014 12:00:00 AM"
"GUAJL","20.8","14","27.5","14.5","3/15/2014 12:00:00 AM"
"GUCJL","21.1","10.9","31.2","12.0","3/15/2014 12:00:00 AM"
"GUAJL","18.7","11","26.5","13.0","3/19/2014 12:00:00 AM"
"GUCJL","20.1","10.7","29.6","11.6","3/19/2014 12:00:00 AM"
"GUAJL","20.5","13","28","14","3/20/2014 12:00:00 AM"
"GUCJL","20.9","11","30.8","12.1","3/20/2014 12:00:00 AM"
"GUAJL","22.7","14","31.5","15.5","3/21/2014 12:00:00 AM"
"GUCJL","23.4","13.2","33.5","14.8","3/21/2014 12:00:00 AM"
"GUAJL","23.2","16","30.5","16.5","3/22/2014 12:00:00 AM"
"GUCJL","23.2","13.4","33","15","3/22/2014 12:00:00 AM"
"GUAJL","23.2","15.5","31","16.0","3/23/2014 12:00:00 AM"
"GUCJL","22.5","12.3","32.8","15.0","3/23/2014 12:00:00 AM"
"GUAJL","24.7","16","33.5","16.5","3/24/2014 12:00:00 AM"
"GUCJL","23.6","12","35.2","13.0","3/24/2014 12:00:00 AM"
"GUAJL","24","16","32","16.5","3/25/2014 12:00:00 AM"
"GUCJL","22.6","11.8","33.4","13","3/25/2014 12:00:00 AM"
"GUAJL","23.2","15.5","31","16","3/26/2014 12:00:00 AM"
"GUCJL","22.7","11.8","33.7","14.5","3/26/2014 12:00:00 AM"
"GUAJL","22","15","29","15","3/27/2014 12:00:00 AM"
"GUCJL","21.5","11.5","31.6","12.9","3/27/2014 12:00:00 AM"
"GUAJL","21.5","15","28","15.5","3/28/2014 12:00:00 AM"
"GUCJL","22.9","13.4","32.5","14.0","3/28/2014 12:00:00 AM"
"GUAJL","21.7","15","28.5","16","3/29/2014 12:00:00 AM"
"GUCJL","21.4","12","30.8","16.8","3/29/2014 12:00:00 AM"
"GUAJL","22.7","15","30.5","16.0","3/30/2014 12:00:00 AM"
"GUAJL","22.2","15","29.5","15.5","3/31/2014 12:00:00 AM"
"GUCJL","22.2","11.5","33","12.5","3/31/2014 12:00:00 AM"
